5.100,0.6263,0.02440,0.00997,-0.0087,0.4562,1.0000,34.9357,160.0000
5.200,0.6337,0.02466,0.01002,-0.0076,0.4389,1.0000,35.9867,160.0000
5.300,0.6408,0.02496,0.01014,-0.0066,0.4213,1.0000,37.0555,160.0000
5.400,0.6478,0.02529,0.01029,-0.0056,0.4040,1.0000,38.1094,160.0000
5.500,0.6550,0.02564,0.01044,-0.0047,0.3873,1.0000,39.1281,160.0000
5.600,0.6623,0.02600,0.01060,-0.0038,0.3711,1.0000,40.1172,160.0000
5.700,0.6697,0.02638,0.01074,-0.0029,0.3556,1.0000,41.0656,160.0000
5.800,0.6772,0.02679,0.01093,-0.0021,0.3409,1.0000,41.9717,160.0000
5.900,0.6842,0.02723,0.01125,-0.0012,0.3263,1.0000,42.8675,160.0000
6.000,0.6913,0.02771,0.01158,-0.0004,0.3126,1.0000,43.7187,160.0000
6.100,0.6987,0.02822,0.01193,0.0004,0.3000,1.0000,44.4954,160.0000
6.200,0.7068,0.02872,0.01217,0.0011,0.2888,1.0000,45.1932,160.0000
6.300,0.7147,0.02920,0.01243,0.0017,0.2777,1.0000,45.8873,160.0000
6.400,0.7216,0.02980,0.01298,0.0025,0.2671,1.0000,46.5514,160.0000
6.500,0.7304,0.03036,0.01322,0.0030,0.2582,1.0000,47.1101,160.0000
6.600,0.7374,0.03096,0.01380,0.0038,0.2488,1.0000,47.6966,160.0000
6.700,0.7456,0.03159,0.01419,0.0043,0.2409,1.0000,48.2003,160.0000
6.800,0.7530,0.03221,0.01474,0.0050,0.2329,1.0000,48.7065,160.0000
6.900,0.7616,0.03290,0.01513,0.0055,0.2263,1.0000,49.1265,160.0000
7.000,0.7681,0.03364,0.01592,0.0062,0.2193,1.0000,49.5697,160.0000
7.100,0.7780,0.03422,0.01604,0.0065,0.2132,1.0000,49.9639,160.0000
7.200,0.7833,0.03513,0.01711,0.0074,0.2077,1.0000,50.3181,160.0000
7.300,0.7908,0.03588,0.01778,0.0080,0.2023,1.0000,50.6648,160.0000
7.400,0.8012,0.03656,0.01790,0.0082,0.1972,1.0000,50.9891,160.0000
7.500,0.8051,0.03759,0.01920,0.0091,0.1930,1.0000,51.2646,160.0000
7.600,0.8111,0.03848,0.02010,0.0098,0.1885,1.0000,51.5552,160.0000
7.700,0.8200,0.03917,0.02052,0.0102,0.1843,1.0000,51.8290,160.0000
7.800,0.8283,0.04018,0.02114,0.0106,0.1810,1.0000,52.0496,160.0000
7.900,0.8307,0.04140,0.02262,0.0116,0.1781,1.0000,52.2357,160.0000
8.000,0.8345,0.04253,0.02385,0.0124,0.1750,1.0000,52.4418,160.0000
8.100,0.8407,0.04345,0.02468,0.0130,0.1717,1.0000,52.6617,160.0000
8.300,0.8572,0.04540,0.02583,0.0137,0.1660,1.0000,53.0384,160.0000
8.400,0.8575,0.04689,0.02756,0.0146,0.1646,1.0000,53.1285,160.0000
8.500,0.8577,0.04843,0.02926,0.0156,0.1632,1.0000,53.2224,160.0000
8.600,0.8577,0.04998,0.03092,0.0164,0.1618,1.0000,53.3181,160.0000
8.700,0.8576,0.05153,0.03253,0.0172,0.1604,1.0000,53.4148,160.0000
8.800,0.8577,0.05305,0.03406,0.0179,0.1589,1.0000,53.5125,160.0000
8.900,0.8585,0.05449,0.03548,0.0186,0.1574,1.0000,53.6117,160.0000
9.000,0.8608,0.05581,0.03669,0.0191,0.1558,1.0000,53.7174,160.0000
9.100,0.8675,0.05685,0.03742,0.0195,0.1540,1.0000,53.8432,160.0000
9.200,0.8838,0.05782,0.03737,0.0193,0.1515,1.0000,54.0064,160.0000
9.300,0.8804,0.05971,0.03931,0.0201,0.1514,1.0000,54.0184,160.0000
9.400,0.8761,0.06166,0.04128,0.0207,0.1513,1.0000,54.0245,160.0000
9.500,0.8713,0.06366,0.04327,0.0213,0.1512,1.0000,54.0266,160.0000
9.600,0.8661,0.06571,0.04527,0.0218,0.1513,1.0000,54.0249,160.0000
9.700,0.8607,0.06780,0.04727,0.0222,0.1513,1.0000,54.0198,160.0000
9.800,0.8551,0.06991,0.04927,0.0225,0.1515,1.0000,54.0122,160.0000
9.800,0.8551,0.06991,0.04927,0.0225,0.1514,1.0000,54.0122,160.0000
8.000,0.8345,0.04253,0.02385,0.0124,0.1750,1.0000,52.4417,160.0000
8.100,0.8407,0.04345,0.02468,0.0130,0.1717,1.0000,52.6617,160.0000
