alpha,CL,CD,CDp,CM,Top_Xtr,Bot_Xtr,Top_Itr,Bot_Itr
0.130,-0.0070,0.02080,0.00829,0.0026,1.0000,1.0000,1.0000,160.0000
0.135,-0.0072,0.02080,0.00829,0.0027,1.0000,1.0000,1.0000,160.0000
0.140,-0.0075,0.02081,0.00830,0.0028,1.0000,1.0000,1.0000,160.0000
0.145,-0.0077,0.02081,0.00830,0.0029,1.0000,1.0000,1.0000,160.0000
0.150,-0.0080,0.02081,0.00830,0.0030,1.0000,1.0000,1.0000,160.0000
0.155,-0.0082,0.02081,0.00830,0.0031,1.0000,1.0000,1.0000,160.0000
0.160,-0.0085,0.02081,0.00830,0.0032,1.0000,1.0000,1.0000,160.0000
0.165,-0.0088,0.02081,0.00830,0.0032,1.0000,1.0000,1.0000,160.0000
0.170,-0.0090,0.02081,0.00830,0.0033,1.0000,1.0000,1.0000,160.0000
0.175,-0.0093,0.02082,0.00830,0.0034,1.0000,1.0000,1.0000,160.0000
0.180,-0.0095,0.02082,0.00830,0.0035,1.0000,1.0000,1.0000,160.0000
0.185,-0.0098,0.02082,0.00830,0.0036,1.0000,1.0000,1.0000,160.0000
0.190,-0.0100,0.02082,0.00831,0.0037,1.0000,1.0000,1.0000,160.0000
0.195,-0.0103,0.02082,0.00831,0.0038,1.0000,1.0000,1.0000,160.0000
0.200,-0.0105,0.02082,0.00831,0.0039,1.0000,1.0000,1.0000,160.0000
0.205,-0.0108,0.02082,0.00831,0.0040,1.0000,1.0000,1.0000,160.0000
0.210,-0.0110,0.02083,0.00831,0.0041,1.0000,1.0000,1.0000,160.0000
0.215,-0.0113,0.02083,0.00831,0.0042,1.0000,1.0000,1.0000,160.0000
0.220,-0.0115,0.02083,0.00831,0.0043,1.0000,1.0000,1.0000,160.0000
0.225,-0.0117,0.02083,0.00832,0.0044,1.0000,1.0000,1.0000,160.0000
0.230,-0.0120,0.02083,0.00832,0.0045,1.0000,1.0000,1.0000,160.0000
0.235,-0.0122,0.02084,0.00832,0.0046,1.0000,1.0000,1.0000,160.0000
0.240,-0.0125,0.02084,0.00832,0.0047,1.0000,1.0000,1.0000,160.0000
0.245,-0.0127,0.02084,0.00832,0.0048,1.0000,1.0000,1.0000,160.0000
0.250,-0.0129,0.02084,0.00832,0.0049,1.0000,1.0000,1.0000,160.0000
0.255,-0.0132,0.02084,0.00833,0.0050,1.0000,1.0000,1.0000,160.0000
0.260,-0.0134,0.02085,0.00833,0.0051,1.0000,1.0000,1.0000,160.0000
0.265,-0.0136,0.02085,0.00833,0.0051,1.0000,1.0000,1.0000,160.0000
0.270,-0.0139,0.02085,0.00833,0.0052,1.0000,1.0000,1.0000,160.0000
0.275,-0.0141,0.02085,0.00833,0.0053,1.0000,1.0000,1.0000,160.0000
0.280,-0.0143,0.02086,0.00833,0.0054,1.0000,1.0000,1.0000,160.0000
0.285,-0.0145,0.02086,0.00834,0.0055,1.0000,1.0000,1.0000,160.0000
0.290,-0.0148,0.02086,0.00834,0.0056,1.0000,1.0000,1.0000,160.0000
0.295,-0.0150,0.02086,0.00834,0.0057,1.0000,1.0000,1.0000,160.0000
0.300,-0.0152,0.02087,0.00834,0.0058,1.0000,1.0000,1.0000,160.0000
0.305,-0.0154,0.02087,0.00834,0.0059,1.0000,1.0000,1.0000,160.0000
0.310,-0.0157,0.02087,0.00835,0.0060,1.0000,1.0000,1.0000,160.0000
0.315,-0.0159,0.02087,0.00835,0.0061,1.0000,1.0000,1.0000,160.0000
0.320,-0.0161,0.02088,0.00835,0.0061,1.0000,1.0000,1.0000,160.0000
0.325,-0.0163,0.02088,0.00835,0.0062,1.0000,1.0000,1.0000,160.0000
0.330,-0.0165,0.02088,0.00836,0.0063,1.0000,1.0000,1.0000,160.0000
0.335,-0.0167,0.02089,0.00836,0.0064,1.0000,1.0000,1.0000,160.0000
0.340,-0.0169,0.02089,0.00836,0.0065,1.0000,1.0000,1.0000,160.0000
0.345,-0.0171,0.02089,0.00836,0.0066,1.0000,1.0000,1.0000,160.0000
0.350,-0.0174,0.02089,0.00836,0.0067,1.0000,1.0000,1.0000,160.0000
0.355,-0.0176,0.02090,0.00837,0.0068,1.0000,1.0000,1.0000,160.0000
0.360,-0.0178,0.02090,0.00837,0.0069,1.0000,1.0000,1.0000,160.0000
0.365,-0.0180,0.02090,0.00837,0.0069,1.0000,1.0000,1.0000,160.0000
0.370,-0.0182,0.02091,0.00837,0.0070,1.0000,1.0000,1.0000,160.0000
0.375,-0.0184,0.02091,0.00838,0.0071,1.0000,1.0000,1.0000,160.0000
0.380,-0.0186,0.02091,0.00838,0.0072,1.0000,1.0000,1.0000,160.0000
0.385,-0.0187,0.02092,0.00838,0.0073,1.0000,1.0000,1.0000,160.0000
0.390,-0.0189,0.02092,0.00838,0.0074,1.0000,1.0000,1.0000,160.0000
0.395,-0.0191,0.02092,0.00839,0.0075,1.0000,1.0000,1.0000,160.0000
0.400,-0.0193,0.02093,0.00839,0.0076,1.0000,1.0000,1.0000,160.0000
0.405,-0.0195,0.02093,0.00839,0.0076,1.0000,1.0000,1.0000,160.0000
0.410,-0.0197,0.02094,0.00840,0.0077,1.0000,1.0000,1.0000,160.0000
0.415,-0.0199,0.02094,0.00840,0.0078,1.0000,1.0000,1.0000,160.0000
0.420,-0.0201,0.02094,0.00840,0.0079,1.0000,1.0000,1.0000,160.0000
0.425,-0.0202,0.02095,0.00840,0.0080,1.0000,1.0000,1.0000,160.0000
0.430,-0.0204,0.02095,0.00841,0.0081,1.0000,1.0000,1.0000,160.0000
0.435,-0.0206,0.02095,0.00841,0.0081,1.0000,1.0000,1.0000,160.0000
0.440,-0.0208,0.02096,0.00841,0.0082,1.0000,1.0000,1.0000,160.0000
0.445,-0.0209,0.02096,0.00842,0.0083,1.0000,1.0000,1.0000,160.0000
0.450,-0.0211,0.02097,0.00842,0.0084,1.0000,1.0000,1.0000,160.0000
0.455,-0.0213,0.02097,0.00842,0.0085,1.0000,1.0000,1.0000,160.0000
0.460,-0.0214,0.02097,0.00843,0.0086,1.0000,1.0000,1.0000,160.0000
0.465,-0.0216,0.02098,0.00843,0.0086,1.0000,1.0000,1.0000,160.0000
0.470,-0.0218,0.02098,0.00843,0.0087,1.0000,1.0000,1.0000,160.0000
0.475,-0.0219,0.02099,0.00844,0.0088,1.0000,1.0000,1.0000,160.0000
0.480,-0.0221,0.02099,0.00844,0.0089,1.0000,1.0000,1.0000,160.0000
0.485,-0.0222,0.02099,0.00844,0.0090,1.0000,1.0000,1.0000,160.0000
0.490,-0.0224,0.02100,0.00845,0.0090,1.0000,1.0000,1.0000,160.0000
0.495,-0.0225,0.02100,0.00845,0.0091,1.0000,1.0000,1.0000,160.0000
0.500,-0.0227,0.02101,0.00845,0.0092,1.0000,1.0000,1.0000,160.0000
0.505,-0.0228,0.02101,0.00846,0.0093,1.0000,1.0000,1.0000,160.0000
0.510,-0.0230,0.02102,0.00846,0.0094,1.0000,1.0000,1.0000,160.0000
0.515,-0.0231,0.02102,0.00846,0.0094,1.0000,1.0000,1.0000,160.0000
0.520,-0.0233,0.02103,0.00847,0.0095,1.0000,1.0000,1.0000,160.0000
0.525,-0.0234,0.02103,0.00847,0.0096,1.0000,1.0000,1.0000,160.0000
0.530,-0.0236,0.02104,0.00848,0.0097,1.0000,1.0000,1.0000,160.0000
0.535,-0.0237,0.02104,0.00848,0.0097,1.0000,1.0000,1.0000,160.0000
0.540,-0.0238,0.02105,0.00848,0.0098,1.0000,1.0000,1.0000,160.0000
0.545,-0.0240,0.02105,0.00849,0.0099,1.0000,1.0000,1.0000,160.0000
0.550,-0.0241,0.02106,0.00849,0.0100,1.0000,1.0000,1.0000,160.0000
0.555,-0.0242,0.02106,0.00850,0.0100,1.0000,1.0000,1.0000,160.0000
0.560,-0.0243,0.02107,0.00850,0.0101,1.0000,1.0000,1.0000,160.0000
0.565,-0.0245,0.02107,0.00850,0.0102,1.0000,1.0000,1.0000,160.0000
0.570,-0.0246,0.02108,0.00851,0.0103,1.0000,1.0000,1.0000,160.0000
0.575,-0.0247,0.02108,0.00851,0.0103,1.0000,1.0000,1.0000,160.0000
0.580,-0.0248,0.02109,0.00852,0.0104,1.0000,1.0000,1.0000,160.0000
0.585,-0.0249,0.02109,0.00852,0.0105,1.0000,1.0000,1.0000,160.0000
0.590,-0.0251,0.02110,0.00852,0.0106,1.0000,1.0000,1.0000,160.0000
0.595,-0.0252,0.02110,0.00853,0.0106,1.0000,1.0000,1.0000,160.0000
0.600,-0.0253,0.02111,0.00853,0.0107,1.0000,1.0000,1.0000,160.0000
0.605,-0.0254,0.02111,0.00854,0.0108,1.0000,1.0000,1.0000,160.0000
0.610,-0.0255,0.02112,0.00854,0.0108,1.0000,1.0000,1.0000,160.0000
0.615,-0.0256,0.02112,0.00855,0.0109,1.0000,1.0000,1.0000,160.0000
0.620,-0.0257,0.02113,0.00855,0.0110,1.0000,1.0000,1.0000,160.0000
0.625,-0.0258,0.02114,0.00856,0.0111,1.0000,1.0000,1.0000,160.0000
0.630,-0.0259,0.02114,0.00856,0.0111,1.0000,1.0000,1.0000,160.0000
0.635,-0.0260,0.02115,0.00856,0.0112,1.0000,1.0000,1.0000,160.0000
0.640,-0.0261,0.02115,0.00857,0.0113,1.0000,1.0000,1.0000,160.0000
0.645,-0.0262,0.02116,0.00857,0.0113,1.0000,1.0000,1.0000,160.0000
0.650,-0.0263,0.02116,0.00858,0.0114,1.0000,1.0000,1.0000,160.0000
0.655,-0.0264,0.02117,0.00858,0.0115,1.0000,1.0000,1.0000,160.0000
0.660,-0.0265,0.02118,0.00859,0.0115,1.0000,1.0000,1.0000,160.0000
0.665,-0.0266,0.02118,0.00859,0.0116,1.0000,1.0000,1.0000,160.0000
0.670,-0.0266,0.02119,0.00860,0.0117,1.0000,1.0000,1.0000,160.0000
0.675,-0.0267,0.02119,0.00860,0.0117,1.0000,1.0000,1.0000,160.0000
0.680,-0.0268,0.02120,0.00861,0.0118,1.0000,1.0000,1.0000,160.0000
0.685,-0.0269,0.02121,0.00861,0.0119,1.0000,1.0000,1.0000,160.0000
0.690,-0.0270,0.02121,0.00862,0.0119,1.0000,1.0000,1.0000,160.0000
0.695,-0.0270,0.02122,0.00862,0.0120,1.0000,1.0000,1.0000,160.0000
0.700,-0.0271,0.02123,0.00863,0.0121,1.0000,1.0000,1.0000,160.0000
0.705,-0.0272,0.02123,0.00863,0.0121,1.0000,1.0000,1.0000,160.0000
0.710,-0.0273,0.02124,0.00864,0.0122,1.0000,1.0000,1.0000,160.0000
0.715,-0.0273,0.02125,0.00864,0.0123,1.0000,1.0000,1.0000,160.0000
0.720,-0.0274,0.02125,0.00865,0.0123,1.0000,1.0000,1.0000,160.0000
0.725,-0.0275,0.02126,0.00866,0.0124,1.0000,1.0000,1.0000,160.0000
0.730,-0.0275,0.02127,0.00866,0.0125,1.0000,1.0000,1.0000,160.0000
0.735,-0.0276,0.02127,0.00867,0.0125,1.0000,1.0000,1.0000,160.0000
0.740,-0.0277,0.02128,0.00867,0.0126,1.0000,1.0000,1.0000,160.0000
0.745,-0.0277,0.02129,0.00868,0.0127,1.0000,1.0000,1.0000,160.0000
0.750,-0.0278,0.02129,0.00868,0.0127,1.0000,1.0000,1.0000,160.0000
0.755,-0.0278,0.02130,0.00869,0.0128,1.0000,1.0000,1.0000,160.0000
0.760,-0.0279,0.02131,0.00869,0.0128,1.0000,1.0000,1.0000,160.0000
0.765,-0.0280,0.02131,0.00870,0.0129,1.0000,1.0000,1.0000,160.0000
0.770,-0.0280,0.02132,0.00871,0.0130,1.0000,1.0000,1.0000,160.0000
0.775,-0.0281,0.02133,0.00871,0.0130,1.0000,1.0000,1.0000,160.0000
0.780,-0.0281,0.02133,0.00872,0.0131,1.0000,1.0000,1.0000,160.0000
0.785,-0.0282,0.02134,0.00872,0.0131,1.0000,1.0000,1.0000,160.0000
0.790,-0.0282,0.02135,0.00873,0.0132,1.0000,1.0000,1.0000,160.0000
0.795,-0.0283,0.02136,0.00873,0.0133,1.0000,1.0000,1.0000,160.0000
0.800,-0.0283,0.02136,0.00874,0.0133,1.0000,1.0000,1.0000,160.0000
0.805,-0.0284,0.02137,0.00875,0.0134,1.0000,1.0000,1.0000,160.0000
0.810,-0.0284,0.02138,0.00875,0.0134,1.0000,1.0000,1.0000,160.0000
0.815,-0.0284,0.02138,0.00876,0.0135,1.0000,1.0000,1.0000,160.0000
0.820,-0.0285,0.02139,0.00877,0.0136,1.0000,1.0000,1.0000,160.0000
0.825,-0.0285,0.02140,0.00877,0.0136,1.0000,1.0000,1.0000,160.0000
0.830,-0.0286,0.02141,0.00878,0.0137,1.0000,1.0000,1.0000,160.0000
0.835,-0.0286,0.02141,0.00878,0.0137,1.0000,1.0000,1.0000,160.0000
0.840,-0.0286,0.02142,0.00879,0.0138,1.0000,1.0000,1.0000,160.0000
0.845,-0.0287,0.02143,0.00880,0.0139,1.0000,1.0000,1.0000,160.0000
0.850,-0.0287,0.02144,0.00880,0.0139,1.0000,1.0000,1.0000,160.0000
0.855,-0.0287,0.02145,0.00881,0.0140,1.0000,1.0000,1.0000,160.0000
0.860,-0.0287,0.02145,0.00882,0.0140,1.0000,1.0000,1.0000,160.0000
0.865,-0.0288,0.02146,0.00882,0.0141,1.0000,1.0000,1.0000,160.0000
0.870,-0.0288,0.02147,0.00883,0.0141,1.0000,1.0000,1.0000,160.0000
0.875,-0.0288,0.02148,0.00884,0.0142,1.0000,1.0000,1.0000,160.0000
0.880,-0.0288,0.02149,0.00884,0.0142,1.0000,1.0000,1.0000,160.0000
0.885,-0.0288,0.02149,0.00885,0.0143,1.0000,1.0000,1.0000,160.0000
0.890,-0.0289,0.02150,0.00886,0.0144,1.0000,1.0000,1.0000,160.0000
0.895,-0.0289,0.02151,0.00886,0.0144,1.0000,1.0000,1.0000,160.0000
0.900,-0.0289,0.02152,0.00887,0.0145,1.0000,1.0000,1.0000,160.0000
0.905,-0.0289,0.02153,0.00888,0.0145,1.0000,1.0000,1.0000,160.0000
0.910,-0.0289,0.02153,0.00888,0.0146,1.0000,1.0000,1.0000,160.0000
0.915,-0.0289,0.02154,0.00889,0.0146,1.0000,1.0000,1.0000,160.0000
0.920,-0.0289,0.02155,0.00890,0.0147,1.0000,1.0000,1.0000,160.0000
0.925,-0.0289,0.02156,0.00891,0.0147,1.0000,1.0000,1.0000,160.0000
0.930,-0.0289,0.02157,0.00891,0.0148,1.0000,1.0000,1.0000,160.0000
0.935,-0.0289,0.02158,0.00892,0.0148,1.0000,1.0000,1.0000,160.0000
0.940,-0.0289,0.02159,0.00893,0.0149,1.0000,1.0000,1.0000,160.0000
0.945,-0.0289,0.02159,0.00893,0.0149,1.0000,1.0000,1.0000,160.0000
0.950,-0.0289,0.02160,0.00894,0.0150,1.0000,1.0000,1.0000,160.0000
0.955,-0.0289,0.02161,0.00895,0.0150,1.0000,1.0000,1.0000,160.0000
0.960,-0.0289,0.02162,0.00896,0.0151,1.0000,1.0000,1.0000,160.0000
0.965,-0.0289,0.02163,0.00896,0.0151,1.0000,1.0000,1.0000,160.0000
0.970,-0.0289,0.02164,0.00897,0.0152,1.0000,1.0000,1.0000,160.0000
0.975,-0.0289,0.02165,0.00898,0.0152,1.0000,1.0000,1.0000,160.0000
0.980,-0.0289,0.02166,0.00899,0.0153,1.0000,1.0000,1.0000,160.0000
0.985,-0.0288,0.02166,0.00899,0.0153,1.0000,1.0000,1.0000,160.0000
0.990,-0.0288,0.02167,0.00900,0.0154,1.0000,1.0000,1.0000,160.0000
0.995,-0.0288,0.02168,0.00901,0.0154,1.0000,1.0000,1.0000,160.0000
1.000,-0.0288,0.02169,0.00902,0.0155,1.0000,1.0000,1.0000,160.0000
1.005,-0.0288,0.02170,0.00903,0.0155,1.0000,1.0000,1.0000,160.0000
1.010,-0.0287,0.02171,0.00903,0.0156,1.0000,1.0000,1.0000,160.0000
1.015,-0.0287,0.02172,0.00904,0.0156,1.0000,1.0000,1.0000,160.0000
1.020,-0.0287,0.02173,0.00905,0.0157,1.0000,1.0000,1.0000,160.0000
1.025,-0.0286,0.02174,0.00906,0.0157,1.0000,1.0000,1.0000,160.0000
1.030,-0.0286,0.02175,0.00907,0.0157,1.0000,1.0000,1.0000,160.0000
1.035,-0.0286,0.02176,0.00907,0.0158,1.0000,1.0000,1.0000,160.0000
1.040,-0.0285,0.02177,0.00908,0.0158,1.0000,1.0000,1.0000,160.0000
1.045,-0.0285,0.02178,0.00909,0.0159,1.0000,1.0000,1.0000,160.0000
1.050,-0.0285,0.02179,0.00910,0.0159,1.0000,1.0000,1.0000,160.0000
1.055,-0.0284,0.02180,0.00911,0.0160,1.0000,1.0000,1.0000,160.0000
1.060,-0.0284,0.02181,0.00912,0.0160,1.0000,1.0000,1.0000,160.0000
1.065,-0.0283,0.02182,0.00912,0.0161,1.0000,1.0000,1.0000,160.0000
1.070,-0.0283,0.02183,0.00913,0.0161,1.0000,1.0000,1.0000,160.0000
1.075,-0.0283,0.02184,0.00914,0.0161,1.0000,1.0000,1.0000,160.0000
1.080,-0.0282,0.02185,0.00915,0.0162,1.0000,1.0000,1.0000,160.0000
1.085,-0.0282,0.02185,0.00916,0.0162,1.0000,1.0000,1.0000,160.0000
1.090,-0.0281,0.02187,0.00917,0.0163,1.0000,1.0000,1.0000,160.0000
1.095,-0.0281,0.02188,0.00918,0.0163,1.0000,1.0000,1.0000,160.0000
1.100,-0.0280,0.02189,0.00918,0.0163,1.0000,1.0000,1.0000,160.0000
1.105,-0.0279,0.02190,0.00919,0.0164,1.0000,1.0000,1.0000,160.0000
1.110,-0.0279,0.02191,0.00920,0.0164,1.0000,1.0000,1.0000,160.0000
1.115,-0.0278,0.02192,0.00921,0.0165,1.0000,1.0000,1.0000,160.0000
1.120,-0.0278,0.02193,0.00922,0.0165,1.0000,1.0000,1.0000,160.0000
1.125,-0.0277,0.02194,0.00923,0.0165,1.0000,1.0000,1.0000,160.0000
1.130,-0.0276,0.02195,0.00924,0.0166,1.0000,1.0000,1.0000,160.0000
1.135,-0.0276,0.02196,0.00925,0.0166,1.0000,1.0000,1.0000,160.0000
1.140,-0.0275,0.02197,0.00926,0.0167,1.0000,1.0000,1.0000,160.0000
1.145,-0.0274,0.02198,0.00927,0.0167,1.0000,1.0000,1.0000,160.0000
1.150,-0.0274,0.02199,0.00927,0.0167,1.0000,1.0000,1.0000,160.0000
1.155,-0.0273,0.02200,0.00928,0.0168,1.0000,1.0000,1.0000,160.0000
1.160,-0.0272,0.02201,0.00929,0.0168,1.0000,1.0000,1.0000,160.0000
1.165,-0.0272,0.02202,0.00930,0.0169,1.0000,1.0000,1.0000,160.0000
1.170,-0.0271,0.02203,0.00931,0.0169,1.0000,1.0000,1.0000,160.0000
1.175,-0.0270,0.02204,0.00932,0.0169,1.0000,1.0000,1.0000,160.0000
1.180,-0.0269,0.02205,0.00933,0.0170,1.0000,1.0000,1.0000,160.0000
1.185,-0.0269,0.02206,0.00934,0.0170,1.0000,1.0000,1.0000,160.0000
1.190,-0.0268,0.02208,0.00935,0.0170,1.0000,1.0000,1.0000,160.0000
1.195,-0.0267,0.02209,0.00936,0.0171,1.0000,1.0000,1.0000,160.0000
1.200,-0.0266,0.02210,0.00937,0.0171,1.0000,1.0000,1.0000,160.0000
1.205,-0.0265,0.02211,0.00938,0.0171,1.0000,1.0000,1.0000,160.0000
1.210,-0.0264,0.02212,0.00939,0.0172,1.0000,1.0000,1.0000,160.0000
1.215,-0.0264,0.02213,0.00940,0.0172,1.0000,1.0000,1.0000,160.0000
1.220,-0.0263,0.02214,0.00941,0.0172,1.0000,1.0000,1.0000,160.0000
1.225,-0.0262,0.02215,0.00942,0.0173,1.0000,1.0000,1.0000,160.0000
1.230,-0.0261,0.02216,0.00943,0.0173,1.0000,1.0000,1.0000,160.0000
1.235,-0.0260,0.02218,0.00944,0.0173,1.0000,1.0000,1.0000,160.0000
1.240,-0.0259,0.02219,0.00945,0.0174,1.0000,1.0000,1.0000,160.0000
1.245,-0.0258,0.02220,0.00946,0.0174,1.0000,1.0000,1.0000,160.0000
1.250,-0.0257,0.02221,0.00947,0.0174,1.0000,1.0000,1.0000,160.0000
1.255,-0.0256,0.02222,0.00948,0.0175,1.0000,1.0000,1.0000,160.0000
1.260,-0.0255,0.02223,0.00949,0.0175,1.0000,1.0000,1.0000,160.0000
1.265,-0.0254,0.02225,0.00950,0.0175,1.0000,1.0000,1.0000,160.0000
1.270,-0.0253,0.02226,0.00951,0.0176,1.0000,1.0000,1.0000,160.0000
1.275,-0.0252,0.02227,0.00952,0.0176,1.0000,1.0000,1.0000,160.0000
1.280,-0.0251,0.02228,0.00953,0.0176,1.0000,1.0000,1.0000,160.0000
1.285,-0.0250,0.02229,0.00954,0.0177,1.0000,1.0000,1.0000,160.0000
1.290,-0.0249,0.02230,0.00955,0.0177,1.0000,1.0000,1.0000,160.0000
1.295,-0.0248,0.02232,0.00956,0.0177,1.0000,1.0000,1.0000,160.0000
1.300,-0.0247,0.02233,0.00958,0.0177,1.0000,1.0000,1.0000,160.0000
1.305,-0.0246,0.02234,0.00959,0.0178,1.0000,1.0000,1.0000,160.0000
1.310,-0.0245,0.02235,0.00960,0.0178,1.0000,1.0000,1.0000,160.0000
1.315,-0.0244,0.02236,0.00961,0.0178,1.0000,1.0000,1.0000,160.0000
1.320,-0.0243,0.02238,0.00962,0.0179,1.0000,1.0000,1.0000,160.0000
1.325,-0.0241,0.02239,0.00963,0.0179,1.0000,1.0000,1.0000,160.0000
1.330,-0.0240,0.02240,0.00964,0.0179,1.0000,1.0000,1.0000,160.0000
1.335,-0.0239,0.02241,0.00965,0.0179,1.0000,1.0000,1.0000,160.0000
1.340,-0.0238,0.02243,0.00966,0.0180,1.0000,1.0000,1.0000,160.0000
1.345,-0.0237,0.02244,0.00967,0.0180,1.0000,1.0000,1.0000,160.0000
1.350,-0.0236,0.02245,0.00969,0.0180,1.0000,1.0000,1.0000,160.0000
1.355,-0.0234,0.02246,0.00970,0.0181,1.0000,1.0000,1.0000,160.0000
1.360,-0.0233,0.02248,0.00971,0.0181,1.0000,1.0000,1.0000,160.0000
1.365,-0.0218,0.02250,0.00973,0.0178,0.9996,1.0000,1.0527,160.0000
1.370,-0.0200,0.02252,0.00976,0.0176,0.9990,1.0000,1.1198,160.0000
1.375,-0.0182,0.02254,0.00978,0.0173,0.9985,1.0000,1.1847,160.0000
1.380,-0.0164,0.02257,0.00981,0.0170,0.9979,1.0000,1.2490,160.0000
1.385,-0.0147,0.02259,0.00983,0.0167,0.9974,1.0000,1.3124,160.0000
1.390,-0.0129,0.02262,0.00986,0.0165,0.9969,1.0000,1.3750,160.0000
1.395,-0.0112,0.02264,0.00989,0.0162,0.9964,1.0000,1.4365,160.0000
1.400,-0.0095,0.02267,0.00991,0.0159,0.9959,1.0000,1.4969,160.0000
1.405,-0.0077,0.02270,0.00994,0.0157,0.9954,1.0000,1.5561,160.0000
1.410,-0.0060,0.02272,0.00997,0.0154,0.9949,1.0000,1.6141,160.0000
1.415,-0.0043,0.02275,0.00999,0.0152,0.9944,1.0000,1.6707,160.0000
1.420,-0.0026,0.02278,0.01002,0.0149,0.9940,1.0000,1.7259,160.0000
1.425,-0.0009,0.02280,0.01005,0.0146,0.9935,1.0000,1.7798,160.0000
1.430,0.0009,0.02283,0.01008,0.0144,0.9931,1.0000,1.8322,160.0000
1.435,0.0026,0.02286,0.01010,0.0141,0.9926,1.0000,1.8832,160.0000
1.440,0.0044,0.02289,0.01013,0.0139,0.9922,1.0000,1.9327,160.0000
1.445,0.0061,0.02292,0.01016,0.0136,0.9918,1.0000,1.9808,160.0000
1.450,0.0078,0.02294,0.01018,0.0134,0.9913,1.0000,2.0306,160.0000
1.455,0.0094,0.02296,0.01020,0.0131,0.9907,1.0000,2.0854,160.0000
1.460,0.0110,0.02297,0.01022,0.0129,0.9901,1.0000,2.1382,160.0000
1.465,0.0125,0.02299,0.01025,0.0126,0.9895,1.0000,2.1905,160.0000
1.470,0.0141,0.02301,0.01027,0.0124,0.9889,1.0000,2.2421,160.0000
1.475,0.0157,0.02303,0.01029,0.0122,0.9883,1.0000,2.2931,160.0000
1.480,0.0173,0.02305,0.01031,0.0119,0.9878,1.0000,2.3432,160.0000
1.485,0.0189,0.02308,0.01033,0.0117,0.9872,1.0000,2.3926,160.0000
1.490,0.0206,0.02310,0.01036,0.0115,0.9867,1.0000,2.4408,160.0000
1.495,0.0222,0.02312,0.01038,0.0112,0.9861,1.0000,2.4882,160.0000
1.500,0.0239,0.02314,0.01040,0.0110,0.9856,1.0000,2.5347,160.0000
1.505,0.0256,0.02317,0.01043,0.0107,0.9851,1.0000,2.5803,160.0000
1.510,0.0273,0.02319,0.01045,0.0105,0.9846,1.0000,2.6249,160.0000
1.515,0.0290,0.02321,0.01048,0.0102,0.9841,1.0000,2.6685,160.0000
1.520,0.0308,0.02324,0.01050,0.0100,0.9836,1.0000,2.7113,160.0000
1.525,0.0325,0.02326,0.01053,0.0097,0.9831,1.0000,2.7530,160.0000
1.530,0.0343,0.02329,0.01055,0.0094,0.9827,1.0000,2.7938,160.0000
1.535,0.0362,0.02331,0.01058,0.0092,0.9822,1.0000,2.8335,160.0000
1.540,0.0380,0.02334,0.01060,0.0089,0.9818,1.0000,2.8723,160.0000
