alpha,CL,CD,CDp,CM,Top_Xtr,Bot_Xtr,Top_Itr,Bot_Itr
0.000,0.0000,0.02079,0.00828,-0.0000,1.0000,1.0000,1.0000,160.0000
0.005,-0.0003,0.02079,0.00828,0.0001,1.0000,1.0000,1.0000,160.0000
0.010,-0.0005,0.02079,0.00828,0.0002,1.0000,1.0000,1.0000,160.0000
0.015,-0.0008,0.02079,0.00828,0.0003,1.0000,1.0000,1.0000,160.0000
0.020,-0.0011,0.02079,0.00828,0.0004,1.0000,1.0000,1.0000,160.0000
0.025,-0.0014,0.02079,0.00828,0.0005,1.0000,1.0000,1.0000,160.0000
0.030,-0.0016,0.02079,0.00828,0.0006,1.0000,1.0000,1.0000,160.0000
0.035,-0.0019,0.02079,0.00828,0.0007,1.0000,1.0000,1.0000,160.0000
0.040,-0.0022,0.02079,0.00828,0.0008,1.0000,1.0000,1.0000,160.0000
0.045,-0.0024,0.02079,0.00828,0.0009,1.0000,1.0000,1.0000,160.0000
0.050,-0.0027,0.02079,0.00828,0.0010,1.0000,1.0000,1.0000,160.0000
0.055,-0.0030,0.02079,0.00828,0.0011,1.0000,1.0000,1.0000,160.0000
0.060,-0.0032,0.02079,0.00828,0.0012,1.0000,1.0000,1.0000,160.0000
0.065,-0.0035,0.02079,0.00829,0.0013,1.0000,1.0000,1.0000,160.0000
0.070,-0.0038,0.02079,0.00829,0.0014,1.0000,1.0000,1.0000,160.0000
0.075,-0.0040,0.02079,0.00829,0.0015,1.0000,1.0000,1.0000,160.0000
0.080,-0.0043,0.02079,0.00829,0.0016,1.0000,1.0000,1.0000,160.0000
0.085,-0.0046,0.02080,0.00829,0.0017,1.0000,1.0000,1.0000,160.0000
0.090,-0.0048,0.02080,0.00829,0.0018,1.0000,1.0000,1.0000,160.0000
0.095,-0.0051,0.02080,0.00829,0.0019,1.0000,1.0000,1.0000,160.0000
0.100,-0.0054,0.02080,0.00829,0.0020,1.0000,1.0000,1.0000,160.0000
0.105,-0.0056,0.02080,0.00829,0.0021,1.0000,1.0000,1.0000,160.0000
0.110,-0.0059,0.02080,0.00829,0.0022,1.0000,1.0000,1.0000,160.0000
0.115,-0.0062,0.02080,0.00829,0.0023,1.0000,1.0000,1.0000,160.0000
0.120,-0.0064,0.02080,0.00829,0.0024,1.0000,1.0000,1.0000,160.0000
0.125,-0.0067,0.02080,0.00829,0.0025,1.0000,1.0000,1.0000,160.0000
