alpha,CL,CD,CDp,CM,Top_Xtr,Bot_Xtr,Top_Itr,Bot_Itr
0.000,0.0000,0.02077,0.00826,-0.0000,1.0000,1.0000,1.0000,160.0000
0.010,-0.0005,0.02077,0.00826,0.0002,1.0000,1.0000,1.0000,160.0000
0.020,-0.0011,0.02077,0.00826,0.0004,1.0000,1.0000,1.0000,160.0000
0.030,-0.0016,0.02077,0.00826,0.0006,1.0000,1.0000,1.0000,160.0000
0.040,-0.0021,0.02077,0.00826,0.0008,1.0000,1.0000,1.0000,160.0000
0.050,-0.0027,0.02077,0.00826,0.0010,1.0000,1.0000,1.0000,160.0000
0.060,-0.0032,0.02077,0.00826,0.0012,1.0000,1.0000,1.0000,160.0000
0.070,-0.0037,0.02077,0.00826,0.0014,1.0000,1.0000,1.0000,160.0000
0.080,-0.0043,0.02077,0.00826,0.0016,1.0000,1.0000,1.0000,160.0000
0.090,-0.0048,0.02077,0.00826,0.0018,1.0000,1.0000,1.0000,160.0000
0.100,-0.0053,0.02078,0.00827,0.0020,1.0000,1.0000,1.0000,160.0000
0.110,-0.0058,0.02078,0.00827,0.0022,1.0000,1.0000,1.0000,160.0000
0.120,-0.0064,0.02078,0.00827,0.0024,1.0000,1.0000,1.0000,160.0000
0.130,-0.0069,0.02078,0.00827,0.0026,1.0000,1.0000,1.0000,160.0000
0.140,-0.0074,0.02078,0.00827,0.0028,1.0000,1.0000,1.0000,160.0000
0.150,-0.0079,0.02079,0.00827,0.0030,1.0000,1.0000,1.0000,160.0000
0.160,-0.0084,0.02079,0.00828,0.0031,1.0000,1.0000,1.0000,160.0000
0.170,-0.0089,0.02079,0.00828,0.0033,1.0000,1.0000,1.0000,160.0000
0.180,-0.0094,0.02080,0.00828,0.0035,1.0000,1.0000,1.0000,160.0000
0.190,-0.0099,0.02080,0.00828,0.0037,1.0000,1.0000,1.0000,160.0000
0.200,-0.0104,0.02080,0.00829,0.0039,1.0000,1.0000,1.0000,160.0000
0.210,-0.0109,0.02081,0.00829,0.0041,1.0000,1.0000,1.0000,160.0000
0.220,-0.0114,0.02081,0.00829,0.0043,1.0000,1.0000,1.0000,160.0000
0.230,-0.0119,0.02081,0.00829,0.0045,1.0000,1.0000,1.0000,160.0000
0.240,-0.0123,0.02082,0.00830,0.0047,1.0000,1.0000,1.0000,160.0000
0.250,-0.0128,0.02082,0.00830,0.0049,1.0000,1.0000,1.0000,160.0000
0.260,-0.0133,0.02083,0.00830,0.0050,1.0000,1.0000,1.0000,160.0000
0.270,-0.0137,0.02083,0.00831,0.0052,1.0000,1.0000,1.0000,160.0000
0.280,-0.0142,0.02083,0.00831,0.0054,1.0000,1.0000,1.0000,160.0000
0.290,-0.0146,0.02084,0.00831,0.0056,1.0000,1.0000,1.0000,160.0000
0.300,-0.0151,0.02085,0.00832,0.0058,1.0000,1.0000,1.0000,160.0000
0.310,-0.0155,0.02085,0.00832,0.0060,1.0000,1.0000,1.0000,160.0000
0.320,-0.0159,0.02086,0.00833,0.0061,1.0000,1.0000,1.0000,160.0000
0.330,-0.0163,0.02086,0.00833,0.0063,1.0000,1.0000,1.0000,160.0000
0.340,-0.0168,0.02087,0.00834,0.0065,1.0000,1.0000,1.0000,160.0000
0.350,-0.0172,0.02087,0.00834,0.0067,1.0000,1.0000,1.0000,160.0000
0.360,-0.0176,0.02088,0.00835,0.0068,1.0000,1.0000,1.0000,160.0000
0.370,-0.0180,0.02089,0.00835,0.0070,1.0000,1.0000,1.0000,160.0000
0.380,-0.0183,0.02089,0.00836,0.0072,1.0000,1.0000,1.0000,160.0000
0.390,-0.0187,0.02090,0.00836,0.0074,1.0000,1.0000,1.0000,160.0000
0.400,-0.0191,0.02091,0.00837,0.0075,1.0000,1.0000,1.0000,160.0000
0.410,-0.0195,0.02091,0.00837,0.0077,1.0000,1.0000,1.0000,160.0000
