alpha,CL,CD,CDp,CM,Top_Xtr,Bot_Xtr,Top_Itr,Bot_Itr
5.000,0.6188,0.02416,0.00994,-0.0097,0.4737,1.0000,33.8762,160.0000
5.005,0.6193,0.02417,0.00993,-0.0097,0.4730,1.0000,33.9194,160.0000
5.010,0.6198,0.02417,0.00991,-0.0096,0.4723,1.0000,33.9602,160.0000
5.015,0.6204,0.02418,0.00988,-0.0096,0.4717,1.0000,33.9998,160.0000
5.020,0.6205,0.02421,0.00993,-0.0095,0.4706,1.0000,34.0672,160.0000
5.025,0.6206,0.02423,0.00996,-0.0095,0.4694,1.0000,34.1371,160.0000
5.030,0.6208,0.02425,0.00999,-0.0094,0.4683,1.0000,34.2033,160.0000
5.035,0.6211,0.02427,0.01001,-0.0094,0.4673,1.0000,34.2674,160.0000
5.040,0.6213,0.02429,0.01003,-0.0093,0.4662,1.0000,34.3301,160.0000
5.045,0.6216,0.02430,0.01004,-0.0092,0.4652,1.0000,34.3904,160.0000
5.050,0.6220,0.02432,0.01005,-0.0092,0.4643,1.0000,34.4486,160.0000
5.055,0.6223,0.02433,0.01006,-0.0091,0.4633,1.0000,34.5050,160.0000
5.060,0.6227,0.02434,0.01006,-0.0091,0.4624,1.0000,34.5596,160.0000
5.065,0.6231,0.02435,0.01006,-0.0090,0.4616,1.0000,34.6123,160.0000
5.070,0.6235,0.02436,0.01005,-0.0090,0.4607,1.0000,34.6635,160.0000
5.075,0.6239,0.02437,0.01004,-0.0089,0.4599,1.0000,34.7130,160.0000
5.080,0.6244,0.02437,0.01003,-0.0089,0.4591,1.0000,34.7609,160.0000
5.085,0.6248,0.02438,0.01002,-0.0088,0.4583,1.0000,34.8072,160.0000
5.090,0.6253,0.02439,0.01001,-0.0088,0.4576,1.0000,34.8519,160.0000
5.095,0.6258,0.02439,0.00999,-0.0087,0.4569,1.0000,34.8951,160.0000
5.100,0.6263,0.02440,0.00997,-0.0087,0.4562,1.0000,34.9368,160.0000
